overallratingdiff,newoverallrating,oldoverallrating,teamid,playerid
-2,85,87,1,241651
-2,82,84,2,221697
-2,82,84,7,204935
2,92,90,9,203376
-1,88,89,9,256630
-2,82,84,10,218667
1,91,90,10,239085
1,88,87,11,212198
2,91,89,21,202126
1,90,89,21,212622
3,89,86,21,247827
2,89,87,22,215441
2,88,86,22,235073
-2,82,84,32,210035
-2,82,84,32,231521
-2,82,84,45,222077
-2,85,87,48,192985
3,89,86,52,211110
2,92,90,73,231443
-2,87,89,73,235212
-2,84,86,73,252145
2,88,86,73,256196
3,88,85,73,272834
-2,82,84,240,226161
-2,85,87,240,246191
-1,84,85,241,244260
2,91,89,241,251854
2,91,89,241,277643
3,92,89,243,238794
1,90,89,243,239053
-2,83,85,448,230869
3,88,85,607,165153
4,89,85,112172,185122
-2,83,85,116304,266928
-2,84,86,116309,279799
2,89,87,116310,232075
2,88,86,116310,258310
-1,84,85,116312,232202
2,92,90,116325,227102
1,90,89,116325,236479
1,92,91,116325,241667
2,90,88,116325,241846
3,89,86,116325,262531
-1,84,85,116326,245879
-1,83,84,131682,199845
-1,85,86,131682,208128
-1,86,87,131682,224232
-2,83,85,131682,226268
-1,87,88,131682,231478
-1,86,87,131682,237383
