ca_noseSupratip_NN_XXX_R_A,fa_periorbital_NR_IXX_L_M,ca_noseColumella_NN_XXX_D_U,fa_submental_NR_XXX_L_M,fa_jowl_NL_IXX_D_U,fa_preplatysmal_NL_XXX_L_M,ca_noseAla_NR_ICX_D_U,ca_noseAla_NL_ILX_N_W,fa_lip_NR_IXX_L_M,fa_neck_NL_XXP_L_M,fa_forehead_NN_XMX_L_M,fa_jowl_NL_SXX_L_M,ca_earAntihelix_NL_IXX_D_U,fa_cheeksMiddle_NL_XXX_L_M,fa_earHelix_NL_IXX_L_M,ca_noseAla_NR_IXX_N_W,fa_cheeks_NR_XMX_L_M,ca_earHelix_NL_SXP_B_F,ca_earHelix_NL_SXA_N_W,ca_noseAla_NR_IMX_B_F,fa_submandibular_NR_XXX_D_U,ca_noseAla_NL_XXA_N_W,ca_earAntihelix_NL_SXX_B_F,ca_earHelix_NR_IXX_B_F,ca_noseAla_NR_ICX_R_A,ca_earHelix_NL_SXP_N_W,fa_cheeksMiddle_NR_XXX_D_U,fa_submandibular_NR_XXX_L_M,ca_noseSupratip_NN_XXX_D_U,fa_forehead_NL_XLX_D_U,ca_noseColumella_NN_XXX_R_A,ca_noseAla_NR_XXA_R_A,ca_noseTip_NN_XXX_D_U,ca_noseColumella_NN_XXX_B_F,ca_noseAla_NL_ICX_N_W,ca_noseAla_NR_XXA_B_F,fa_lip_NR_IXX_D_U,fa_cheeks_NR_XMX_D_U,ca_noseAla_NR_ICX_B_F,fa_nasolabial_NL_IXX_D_U,fa_nose_NN_XXX_L_M,ca_earlobe_NR_XXX_D_U,ca_noseAla_NL_ICX_B_F,ca_noseAla_NL_IXX_D_U,fa_nasolabial_NR_IXX_D_U,fa_orbital_NL_IXX_D_U,ca_earHelix_NR_SXA_N_W,ca_noseAla_NR_ILX_R_A,ca_noseAla_NR_ILX_B_F,fa_forehead_NR_XLX_D_U,ca_noseAla_NL_IMX_N_W,ca_noseAla_NL_SXX_N_W,ca_noseAla_NL_XXA_R_A,ca_eartragus_NR_XXX_B_F,fa_jowl_NR_IXX_L_M,fa_periorbital_NL_IXX_D_U,fa_orbital_NR_IXX_L_M,fa_preplatysmal_NR_XXX_L_M,ca_noseAla_NR_SXX_R_A,ca_noseSupratip_NN_XXX_SL_SR,ca_noseAla_NR_IMX_N_W,ca_earHelix_NR_SXP_D_U,fa_lip_NL_SXX_D_U,ca_eartragus_NL_XXX_N_W,ca_earHelix_NR_IXX_N_W,ca_earAntihelix_NL_SXX_N_W,fa_submandibular_NL_XXX_L_M,ca_noseAla_NL_ILX_R_A,fa_orbital_NR_IXX_D_U,ca_earHelix_NL_IXX_B_F,ca_earAntihelix_NR_SXX_B_F,ca_noseAla_NR_SXX_B_F,ca_earlobe_NL_XXX_D_U,ca_noseAla_NR_ILX_N_W,ca_earHelix_NL_SXA_B_F,fa_forehead_NR_XLX_L_M,ca_earHelix_NR_SXP_B_F,ca_earHelix_NL_IXX_N_W,fa_periorbital_NL_IXX_L_M,fa_jowl_NR_IXX_D_U,ca_noseTip_NN_XXX_SL_SR,ca_earAntihelix_NR_SXX_N_W,fa_cheeks_NL_XMX_L_M,fa_earHelix_NR_IXX_L_M,fa_nasolabial_NR_IXX_L_M,ca_noseColumella_NN_XXX_SL_SR,ca_noseAla_NL_IMX_R_A,fa_orbital_NL_IXX_L_M,ca_noseAla_NL_SXX_R_A,fa_lip_NL_IXX_L_M,ca_noseAla_NR_SXX_D_U,ca_noseAla_NL_IXX_B_F,fa_temporal_NR_XLX_L_M,ca_noseAla_NR_XXA_N_W,fa_orbital_NR_XLX_D_U,fa_nasolabial_NL_IXX_L_M,fa_cheeksMiddle_NR_XXX_L_M,ca_noseAla_NR_ILX_D_U,ca_earHelix_NR_SXA_B_F,ca_earAntihelix_NR_SXX_D_U,ca_earHelix_NL_IXX_D_U,fa_forehead_NL_XLX_L_M,ca_eartragus_NL_XXX_D_U,ca_earHelix_NR_IXX_D_U,fa_mental_NN_XXX_L_M,ca_earAntihelix_NL_SXX_D_U,fa_lip_NR_SXX_L_M,ca_noseSupratip_NN_XXX_B_F,fa_earHelix_NL_SXX_L_M,fa_orbital_NL_XLX_D_U,fa_forehead_NN_XMX_D_U,fa_jowl_NL_SXX_D_U,ca_noseTip_NN_XXX_R_A,ca_noseAla_NR_XXA_D_U,fa_cheeksMiddle_NL_XXX_D_U,fa_temporal_NL_XLX_L_M,ca_earHelix_NR_SXP_N_W,fa_submental_NR_XXX_D_U,fa_jowl_NL_IXX_L_M,fa_periorbital_NR_IXX_D_U,ca_eartragus_NL_XXX_B_F,ca_noseAla_NR_SXX_N_W,ca_earHelix_NR_SXA_D_U,fa_nasolabial_NL_SXX_D_U,ca_earAntihelix_NL_IXX_B_F,fa_orbital_NL_XLX_L_M,fa_orbital_NL_SXX_D_U,fa_submental_NL_XXX_L_M,fa_temporal_NL_XLX_D_U,ca_earlobe_NL_XXX_N_W,ca_earHelix_NL_SXP_D_U,fa_mental_NN_XXX_D_U,fa_lip_NR_SXX_D_U,ca_noseAla_NR_IMX_D_U,ca_noseSupratip_NN_XXX_N_W,ca_noseTip_NN_XXX_N_W,fa_orbital_NR_SXX_L_M,ca_earHelix_NL_SXA_D_U,ca_noseAla_NR_IXX_R_A,ca_noseAla_NL_IMX_D_U,ca_noseAla_NL_SXX_D_U,fa_nasolabial_NR_SXX_D_U,ca_noseAla_NL_IXX_N_W,ca_earlobe_NR_XXX_N_W,fa_temporal_NR_XLX_D_U,fa_mental_NN_IXX_L_M,ca_earAntihelix_NL_IXX_N_W,fa_neck_NR_XXP_L_M,ca_earAntihelix_NR_IXX_B_F,fa_jowl_NR_SXX_L_M,fa_orbital_NR_XLX_L_M,ca_earlobe_NL_XXX_B_F,fa_mental_NN_IXX_D_U,fa_cheeks_NL_XMX_D_U,ca_noseAla_NL_ICX_D_U,ca_noseAla_NL_XXA_B_F,ca_noseAla_NL_ILX_D_U,fa_jowl_NR_SXX_D_U,fa_lip_NL_IXX_D_U,fa_orbital_NR_SXX_D_U,fa_nasolabial_NR_SXX_L_M,ca_eartragus_NR_XXX_D_U,ca_noseAla_NR_IXX_B_F,ca_noseAla_NL_ICX_R_A,ca_noseAla_NL_IMX_B_F,ca_earlobe_NR_XXX_B_F,fa_submandibular_NL_XXX_D_U,ca_noseAla_NL_ILX_B_F,ca_earAntihelix_NR_IXX_N_W,ca_noseAla_NL_XXA_D_U,ca_noseTip_NN_XXX_B_F,fa_earHelix_NR_SXX_L_M,ca_noseAla_NL_IXX_R_A,fa_orbital_NL_SXX_L_M,ca_noseAla_NR_IXX_D_U,fa_submental_NL_XXX_D_U,fa_lip_NL_SXX_L_M,ca_earAntihelix_NR_IXX_D_U,ca_noseColumella_NN_XXX_N_W,ca_noseAla_NR_IMX_R_A,ca_noseAla_NL_SXX_B_F,fa_nasolabial_NL_SXX_L_M,ca_eartragus_NR_XXX_N_W,ca_noseAla_NR_ICX_N_W,assetid
-2,22,67,-14,2,-3,86,67,-11,44,72,67,32,45,8,8,40,-15,-14,4,-23,70,68,56,21,-42,-3,-23,-53,-23,-44,39,13,-35,47,34,-39,-7,25,19,-72,-60,30,80,24,50,-13,24,56,-40,64,76,28,-61,-27,21,32,-5,12,-5,58,8,-100,85,-5,55,-26,30,65,62,70,6,-38,62,26,55,-21,-18,17,7,-2,26,23,11,35,8,23,17,6,-28,6,23,29,61,23,15,52,4,23,47,-70,34,20,-69,23,45,-100,-40,78,36,-40,62,-54,4,-1,23,-35,-25,-25,32,-54,66,-28,11,56,22,35,-15,32,18,0,-36,-100,53,-6,18,16,-19,26,57,11,10,3,13,32,-57,72,46,66,88,16,31,13,-23,86,40,-2,63,-43,12,-25,17,20,26,12,30,-25,60,78,5,-100,75,22,0,80,-23,-100,43,7,20,9,-7,99,47,72543
18,38,29,-15,19,5,-59,-44,20,6,99,-8,6,-9,96,-7,-22,4,57,1,-8,72,22,40,33,62,-1,-21,-59,58,-14,33,-7,-38,-48,30,63,68,3,-9,-40,-43,5,33,-10,-2,66,36,87,54,24,94,27,-60,28,-62,25,6,20,4,21,-90,1,31,-7,68,-19,35,2,46,20,64,-33,-49,-28,46,0,14,14,16,3,48,-21,93,65,-4,33,21,20,10,30,-22,-21,68,9,60,-1,-16,-35,-28,-98,29,-49,-96,-19,-26,-35,2,100,11,100,76,15,-24,0,-17,56,12,41,-45,-66,93,-94,15,13,36,79,-14,71,-76,-88,-43,4,39,21,42,-52,-93,20,37,32,14,-2,-85,68,-44,-21,7,20,-2,52,41,38,68,-58,31,-17,73,65,71,7,-47,-23,35,5,43,-3,86,-24,-21,-45,100,20,-56,36,13,-37,7,13,35,63,10,19,-53,79440
8,2,43,-27,9,-14,-84,-2,19,28,54,52,67,-32,54,12,-21,-8,-2,-4,-15,28,64,75,25,50,34,-18,-45,-22,-15,39,18,0,-46,13,32,36,15,36,-54,-71,19,94,31,45,12,23,81,-16,-24,84,36,-100,-21,38,7,-15,40,3,-26,-34,8,63,-45,33,-20,19,57,66,68,14,-66,-11,2,91,-5,-38,-5,6,12,19,-33,42,35,14,10,-5,31,6,30,-14,-2,30,12,15,-13,9,-3,47,-62,74,-3,-72,-1,54,0,0,94,10,-70,37,1,-30,24,-12,61,-6,-28,55,-100,76,6,29,38,-28,39,-28,66,-35,-24,17,10,43,-27,3,-12,-2,20,41,27,32,13,-25,68,-49,-13,29,43,69,-16,-13,40,36,-87,17,3,30,29,31,-8,2,-16,25,-1,-3,-14,83,0,-33,-33,95,18,-17,97,-4,4,60,17,10,16,-13,68,-49,80380
1,-7,15,-15,14,22,-31,29,36,17,29,34,26,3,88,17,-7,-23,100,24,-28,73,56,-18,36,42,40,-30,-42,-51,-26,0,23,-29,100,45,-3,-26,29,0,-40,22,36,32,1,42,92,-8,25,-58,28,37,-5,-30,5,-16,-62,24,43,4,23,-98,-13,39,-23,66,-29,-13,40,-21,54,-33,19,10,-66,2,-28,-13,-14,10,12,45,-5,80,18,0,68,-67,37,27,-14,-15,-6,69,43,12,-25,-93,-64,1,-69,0,11,-61,36,7,-38,48,100,48,-54,44,21,-2,38,3,38,-10,13,-9,-35,18,-12,18,-41,-2,-38,-13,70,19,-100,-39,-12,56,48,-1,-18,-7,6,63,-17,23,26,20,67,-29,25,17,-41,38,-10,18,25,-36,-23,48,-92,42,0,-36,9,7,-21,38,33,24,-28,28,17,-4,8,96,4,-22,36,-9,-31,19,-28,68,-29,4,32,100,81236
-5,74,60,-38,-30,-3,51,11,15,0,3,30,-34,-23,59,6,3,30,-5,-14,19,57,29,55,6,14,-15,-72,-45,-20,-51,42,4,-9,30,20,-22,12,-10,-20,1,6,-5,40,-21,29,-5,30,53,-6,34,11,17,-7,-68,-28,-11,-2,-6,-2,21,-89,-6,61,50,4,-69,24,17,58,24,37,3,0,0,36,21,55,89,-32,-10,-10,-15,59,-16,-18,11,-47,0,14,-63,17,-45,33,-14,-6,-23,-1,-9,-66,-71,7,-15,-82,-14,-58,-34,-18,20,-21,6,36,-15,0,-12,-53,25,13,-64,-28,-3,14,-100,-27,51,-23,32,-34,59,63,-86,-55,-19,41,-23,27,37,-100,7,39,-53,-20,15,51,61,-56,72,0,59,46,-16,70,28,-16,60,34,3,3,-14,53,20,-22,8,6,3,72,15,49,64,12,-70,23,5,-15,44,14,-45,-57,22,16,34,-4,88,24,81238
-45,15,23,-51,11,27,-8,86,-31,4,73,67,17,-59,-31,5,-29,-33,31,-4,10,37,72,30,10,53,24,-81,-68,-1,-59,58,-56,-43,40,8,-54,-30,26,-13,34,-35,38,39,-14,50,30,0,48,15,-11,49,50,-72,-84,-77,11,28,18,-1,-14,-60,-59,52,2,43,-82,5,40,36,65,-6,-47,78,37,23,-32,-1,-8,3,20,40,-10,-16,-52,11,10,38,4,-18,-43,-23,-80,27,4,-44,-51,-29,27,18,-88,18,2,-70,1,17,-74,-76,74,7,-56,94,-38,-27,41,-73,41,42,-83,-52,-67,36,-60,16,58,-39,7,-52,95,-7,-64,21,-49,-20,-37,24,-4,-62,23,-28,-43,29,5,-16,97,-57,61,3,38,50,-36,-5,20,-55,-20,17,-35,100,-58,-6,-17,4,-27,18,10,-3,12,57,59,-29,-100,66,21,28,44,45,-60,12,18,8,3,0,55,39,81239
14,-25,17,0,11,-1,3,2,46,-7,22,49,50,20,8,14,-20,19,24,15,-40,-5,68,9,-2,39,10,-6,-6,4,-25,34,18,-16,37,-4,13,18,-1,-1,-8,18,-5,37,-2,55,40,-17,24,24,-14,-17,24,-66,-51,15,-40,1,35,-9,-24,-40,-17,54,-18,30,-3,-23,35,17,55,-16,32,10,-12,31,-6,-17,-48,0,-5,-11,-21,5,-28,-8,27,-38,47,45,-12,-32,2,-29,22,-18,23,-15,-27,38,-76,4,13,-74,-47,42,32,47,44,35,-14,40,0,-18,11,3,21,-26,-35,0,-57,-3,-7,37,-20,-37,7,0,45,33,-30,7,-21,31,1,-3,-20,-13,6,44,-2,35,21,15,43,-36,77,-6,-10,60,-31,18,35,30,20,-3,-6,33,20,21,-66,8,-32,-4,16,8,-39,20,42,-6,-17,40,8,-67,36,-24,32,45,-15,35,-19,-60,63,32,81272
-22,-4,37,-22,-12,31,-29,19,3,-16,80,41,49,28,25,5,-1,-16,38,10,-1,44,57,29,20,2,-2,-50,-84,-17,-44,34,-14,-26,41,21,-39,-44,25,-29,-33,18,24,51,-3,40,20,21,49,-28,15,41,26,-28,-35,-13,12,29,3,3,8,-26,-47,36,-30,71,-47,23,51,38,47,18,14,18,56,50,-9,-29,-19,-8,7,93,2,20,-2,5,31,11,-5,1,-24,-13,-30,36,-16,18,66,-20,50,52,-41,47,15,-26,18,50,-84,-42,84,-13,20,61,7,-35,2,-25,-9,37,-32,-7,-19,40,-29,29,25,29,23,-21,85,-4,-30,13,-48,27,-9,-9,22,-22,13,28,-23,40,6,21,88,-56,29,-17,-5,64,41,18,8,-48,-29,25,-25,61,-42,-1,5,9,-13,24,14,11,-1,49,39,-34,-74,71,10,10,52,37,-62,44,-19,30,20,2,24,39,81295
22,55,57,-8,-7,6,-40,-18,26,-31,61,81,43,-11,66,22,-37,-28,60,20,-24,51,68,-11,17,10,-3,7,-31,-79,11,33,42,-5,30,17,9,47,-12,-25,-27,7,-12,78,-23,16,68,14,60,-80,16,40,27,-45,-7,-22,-51,7,42,-18,10,19,0,3,-15,70,9,12,17,-10,65,-12,6,-24,-50,43,-24,-5,45,-10,-17,72,-31,61,20,-17,44,-58,40,17,-25,-8,1,45,-11,34,-14,23,-55,-11,-23,46,-38,-30,25,-14,29,24,88,-11,-84,24,27,-12,-5,-2,7,10,-16,-19,-45,33,9,31,-17,-25,-9,-6,63,21,23,32,4,43,-24,26,1,15,17,42,-26,32,26,-5,63,-35,39,-31,-19,89,-19,10,3,41,-39,19,18,23,9,-11,-16,-35,-9,18,21,16,-24,61,23,-9,1,84,18,-8,81,10,29,35,-28,44,-12,-8,6,21,81473
16,-41,46,-6,-20,-10,-77,-50,61,-16,8,100,2,-82,-41,43,-50,-75,-82,5,9,61,9,-14,24,-83,29,0,-73,-49,-23,40,-12,61,-54,15,-28,45,-8,38,-29,15,-12,100,27,81,-73,42,75,-46,-12,46,37,-99,-20,72,-1,-11,23,-12,-16,-16,-12,31,-18,67,-1,41,86,-18,16,-3,35,-43,-44,64,-70,-24,-37,-19,4,54,-64,-41,-37,12,36,-20,23,47,-1,26,-40,52,39,-38,-84,18,-47,-5,-86,50,-13,-88,-29,1,-30,28,25,40,-24,63,39,-39,26,-52,-85,30,-13,74,-99,47,-100,68,-37,-52,33,-9,87,-69,-9,58,-15,32,-55,39,-48,-100,14,32,5,72,40,-69,90,-36,60,-15,-32,100,-52,-100,7,63,-79,19,18,69,-24,27,-11,-12,28,25,0,-97,9,73,56,-35,1,28,13,-25,100,31,-17,0,23,40,-4,-12,40,-51,223740
-18,36,49,6,2,45,52,-14,18,10,15,0,31,42,64,0,-42,6,39,-20,5,24,22,38,-39,6,0,-3,-55,-33,-19,23,-21,-34,-7,-1,24,54,-42,1,35,-58,-46,-11,2,7,33,9,15,-29,-22,-13,23,-25,13,41,11,44,14,-12,-21,-47,20,-15,-63,27,-3,2,4,42,24,-3,-63,-8,15,37,4,-66,39,3,-13,21,-36,60,74,-11,-16,-1,17,13,22,-24,-11,21,6,75,36,7,12,-28,-20,37,3,-14,-4,-31,72,2,47,5,-80,52,5,-14,0,-14,-1,-13,8,35,-25,-7,-54,32,13,31,-4,6,-5,16,-54,-17,17,10,0,-13,6,-57,2,13,21,33,0,31,-4,9,22,10,15,14,36,38,55,52,56,-5,8,46,29,7,28,7,-22,-41,-23,33,5,12,30,-13,-30,47,3,21,-9,-12,68,32,13,-11,-7,28,-4,-8,254109
21,-57,45,-18,-10,1,-42,-23,15,21,64,67,2,-54,50,35,-17,-21,-28,0,-25,60,18,-9,21,-15,24,-18,-66,-18,-4,44,-11,32,-8,26,-32,19,-36,45,-69,-24,-29,89,34,43,0,22,27,10,18,50,29,-86,-32,-10,-21,0,30,-18,9,7,0,30,-4,5,-20,17,39,-7,12,3,-25,-31,-22,44,-24,2,-57,-13,-16,1,-32,51,6,-16,32,-32,28,1,-29,24,-43,46,31,11,-56,18,-40,-6,-38,1,-41,-42,-7,6,-39,44,76,30,-3,28,10,-43,36,-47,-23,26,-23,-21,-90,47,-82,23,-21,-35,72,-17,84,2,33,1,1,16,-34,25,9,-79,16,18,-23,30,38,9,83,-53,9,21,-22,74,-36,-63,22,28,-33,32,19,37,-36,64,4,-39,16,22,7,-58,-24,28,5,-34,-15,74,18,9,91,27,-29,-9,15,33,5,0,34,-14,270860
19,-31,32,-21,-15,-12,19,-5,20,24,-18,81,-31,-8,55,33,22,12,-38,-10,-2,40,56,45,6,42,-3,-26,-58,7,-13,28,-10,-31,-58,19,-69,3,-32,-18,-70,0,-27,95,-24,58,-22,27,64,30,-17,40,29,-77,-1,46,-35,-11,31,7,-13,-27,-30,61,52,49,-25,24,65,55,58,3,-16,-15,0,-23,11,56,-37,-18,18,33,20,58,-4,21,14,-39,24,8,-4,39,-12,45,18,-13,-3,60,-6,-32,-89,-50,-21,-85,19,-19,-16,16,100,25,-78,15,0,-1,0,-13,13,20,15,56,-79,33,-88,18,37,1,38,-20,52,-32,-16,37,-30,44,-16,10,7,-82,14,50,-2,23,36,-26,52,-39,7,26,31,81,3,2,23,11,19,21,58,11,-65,20,11,-24,35,10,-7,-2,1,71,3,-5,-35,99,13,-1,94,21,-3,-37,14,14,9,6,64,-52,278035
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279299
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279322
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279324
-2,60,-58,0,39,0,-100,72,45,0,22,90,22,-23,-17,-10,5,-58,-64,-26,-22,-8,-26,-79,89,-13,75,-32,-100,21,-7,-100,-82,-12,-29,0,19,35,-4,49,89,13,1,-74,52,-38,-58,-7,-17,23,0,-70,-100,-22,-45,-25,44,0,-100,15,6,29,-62,1,-9,39,-31,-21,-38,-81,-29,13,12,57,-45,16,-61,-8,62,38,25,45,12,-18,58,52,79,48,-100,78,-52,3,0,-17,27,58,-22,72,-44,43,92,15,71,93,35,35,-19,98,-45,21,1,-37,100,-100,78,0,-11,0,-54,-21,-21,-88,17,-23,-49,-41,-16,0,-30,-12,25,-81,-46,-31,-19,-38,-50,14,100,-13,-56,-34,-1,-11,-31,12,67,0,-48,89,-40,17,-45,26,-100,0,80,-46,46,-16,26,77,-1,94,-52,17,-26,-24,67,-100,29,-48,98,-50,-71,0,-10,23,-37,78,19,25,4,-20,279349
-46,96,-22,0,47,0,-100,38,-5,0,51,-56,36,10,-5,9,14,-60,-34,-27,-29,6,-76,-98,100,17,43,9,-100,34,1,-37,-100,97,-100,10,1,0,9,11,77,16,10,-100,11,-10,-33,87,-25,34,0,-7,-42,-14,-59,-100,0,0,-86,3,0,65,-100,6,-23,100,6,99,-17,-98,-74,-17,16,36,-33,7,-59,-24,100,45,0,100,9,-6,70,0,82,0,-90,-7,-5,0,1,-11,26,67,14,86,-33,29,100,4,53,100,-70,28,-14,100,46,27,-5,1,100,-100,48,-4,17,0,-60,-100,-14,-2,14,-14,-60,-10,-29,0,-18,-26,65,-12,-100,-55,100,-39,-50,14,0,-55,-5,-17,13,-26,-21,76,100,0,-60,-57,-7,-18,52,1,-100,13,86,1,2,-28,7,58,2,100,-28,-18,-26,-25,100,-100,20,44,1,-50,-100,0,-14,36,12,76,-19,6,8,-100,279419
-84,86,-100,0,20,0,-83,-9,-16,0,12,-2,-7,-25,31,100,27,-31,-9,-100,-3,100,-48,-9,100,61,9,0,-88,8,-18,95,-18,-6,41,-42,-3,-58,-100,-13,80,3,-54,-100,-13,100,-10,100,43,6,-61,44,-40,-6,38,0,100,0,21,24,-76,-36,-100,19,69,100,-1,100,100,-9,-49,-58,3,-19,-14,21,-31,69,90,20,2,100,22,30,25,0,93,100,13,-19,-78,83,0,77,54,24,-17,-70,-14,-97,-49,27,7,-49,-51,-96,24,28,77,52,-7,2,16,-100,7,-1,60,0,41,12,-6,35,-15,14,0,-19,6,0,-6,19,-35,-6,-100,-80,-23,58,-50,-14,-80,-54,-67,18,96,19,-7,76,72,0,0,-1,-10,4,27,-56,-75,-2,-65,3,-1,-6,35,5,66,98,14,4,-3,52,71,-100,-20,75,-58,-50,-100,0,25,-7,-1,91,-44,39,18,9,279438
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279467
